text,disease
"Feeling rapidly expanding redness, fever, blisters over red area",Cellulitis
"It started yesterday with bloody diarrhea, urgent need to defecate, cramping abdominal pain and weight loss.",Ulcerative Colitis
"Clinical notes: Patient presenting with tingling in hands and feet, smooth red tongue, fatigue and memory problems.",Vitamin B12 Deficiency
Experiencing feelings of worthlessness,Major Depressive Disorder
"I cannot sleep because of dull ache when moving affected tendon, tenderness to touch and joint stiffness near shoulder elbow or heel.",Tendinitis
"I have high fever, chest pain and shortness of breath, what could this be?",Pneumonia
Experiencing muscle weakness,Peripheral Neuropathy
"I have shortness of breath, persistent cough, difficulty breathing",Asthma
"Doctor, I've had persistent cough for more than 3 weeks, unexplained weight loss, chest pain and fever for the past few days.",Tuberculosis
"I've been dealing with red swollen tonsils, fever, enlarged tender neck nodes and bad breath and it is getting worse.",Tonsillitis
"It started yesterday with circular red itchy rash with raised edges, scaly skin and cracked skin.",Fungal Skin Infection
Experiencing fatigue,Hepatitis A
Lately I have been feeling chronic lower back pain and stiffness and reduced spine flexibility.,Ankylosing Spondylitis
Clinical notes: Patient presenting with pounding racing heart and trembling.,Panic Disorder
I've been dealing with loss of interest in hobbies and feelings of worthlessness and it is getting worse.,Major Depressive Disorder
"I'm experiencing urgent need to defecate, cramping abdominal pain and fever.",Ulcerative Colitis
"Patient presenting with visual flashes, blind spots, light sensitivity",Migraine with Aura
"Doctor, I've had heartburn, difficulty swallowing, chronic dry cough",GERD
"Suffering from cramping abdominal pain and rectal pain, need medical guidance.",Ulcerative Colitis
"I feel terrible with burning stomach pain between meals, feeling full too quickly, dark stools and unexplained weight loss.",Peptic Ulcer
I have stiff neck,Lyme Disease
I have pain radiating to left arm neck or jaw,Heart Attack
"I'm experiencing fever, bloating and abdominal tenderness.",Diverticulitis
Feeling severe sharp flank pain,Kidney Stones
I'm experiencing cyclical high fever and nausea.,Malaria
"Patient reports smooth red tongue, memory problems, unsteady balance and pale or jaundiced skin with increasing discomfort.",Vitamin B12 Deficiency
I have difficulty breathing,Asthma
"Doctor, I've had widespread musculoskeletal pain, cognitive brain fog, tender trigger points",Fibromyalgia
I've been dealing with burning stomach pain between meals and dark stools and it is getting worse.,Peptic Ulcer
I have dizziness,Arrhythmia
Woke up today with fever and body aches.,Lyme Disease
"It started yesterday with bruising easily, fatigue and slow wound healing.",Scurvy
Experiencing sudden intense joint pain in big toe,Gout
Experiencing acute weak urine stream and urinary urgency.,Benign Prostatic Hyperplasia
"Doctor, I've had acid regurgitation, chest burning, difficulty swallowing and chronic dry cough for the past few days.",GERD
Experiencing acute headache and red spots on skin.,Chickenpox
Feeling fainting or dizziness upon standing,Aortic Stenosis
I have blurred vision,Diabetes Type 1
"Patient presenting with tingling in hands and feet, fatigue, pale or jaundiced skin",Vitamin B12 Deficiency
I'm experiencing uncontrolled jerking movements and temporary confusion.,Epilepsy
"Over the last 48 hours, I noticed rapid heart rate upon standing, dizziness on standing, brain fog and trembling.",Postural Orthostatic Tachycardia (POTS)
Experiencing loss of consciousness,Epilepsy
"I have sharp chest pain worse when lying down, fever, heart palpitations",Pericarditis
"Lately I have been feeling persistent excessive worry, difficulty concentrating and sleep disturbance.",Generalized Anxiety Disorder
"Woke up today with sudden intense joint pain in big toe, swelling and redness of big toe and limited range of motion.",Gout
"Suffering from circular red itchy rash with raised edges, scaly skin and skin peeling, need medical guidance.",Fungal Skin Infection
Lately I have been feeling bruising easily and fatigue.,Scurvy
"Experiencing shortness of breath when lying flat, swelling in legs and ankles, rapid weight gain from fluid",Heart Failure
"I'm experiencing itchy fluid-filled blisters, fever, tiredness and headache.",Chickenpox
"My main issues right now are squeezing chest pain with physical exertion, pressure in chest relieved by rest, shortness of breath and nausea.",Angina Pectoris
"Patient reports loss of interest in hobbies, fatigue, changes in appetite or weight and feelings of worthlessness with increasing discomfort.",Major Depressive Disorder
"Doctor, I've had cloudy or blurry vision, faded colors and frequent eyeglasses changes for the past few days.",Cataract
"Doctor, I've had bullseye skin rash, chills, fatigue and swollen lymph nodes for the past few days.",Lyme Disease
I have fluid draining from ear,Otitis Media
"Experiencing shakiness, sweating, hunger",Hypoglycemia
"Patient reports flank pain on one side, shivering chills, nausea and vomiting with increasing discomfort.",Pyelonephritis
"Lately I have been feeling chest pain on deep inhalation, shortness of breath and fever.",Pleural Effusion
"Been having breathlessness with exercise, fainting or dizziness upon standing, fatigue",Aortic Stenosis
I cannot sleep because of fatigue and muscle weakness.,Hypothyroidism
Experiencing swelling and redness over shoulder elbow or hip,Bursitis
"Suffering from persistent sad empty mood, fatigue, feelings of worthlessness",Major Depressive Disorder
"I have drooping mouth and inability to close one eye, what could this be?",Bell's Palsy
Feeling chest pain,Pneumonia
I have tickling sensation in throat,Laryngitis
"My main issues right now are crushing chest pain, pain radiating to left arm neck or jaw and dizziness.",Heart Attack
"Suffering from tightness across forehead, scalp tenderness and neck stiffness, need medical guidance.",Tension Headache
"Over the last 48 hours, I noticed stomach pain and extreme fatigue.",Typhoid Fever
"Over the last 48 hours, I noticed rapid heart rate upon standing and dizziness on standing.",Postural Orthostatic Tachycardia (POTS)
"Patient presenting with bone pain, frequent infections, low mood",Vitamin D Deficiency
"Patient presenting with severe crippling joint pain, joint swelling, muscle pain",Chikungunya
"I've been dealing with petechiae (superficial pinpoint purple spots on skin), bleeding gums and nosebleeds and it is getting worse.",Thrombocytopenia
"Clinical notes: Patient presenting with crushing chest pain, cold sweat, shortness of breath and severe nausea.",Heart Attack
Experiencing abdominal fullness,Constipation
Experiencing profuse watery diarrhea,Cholera
I've been dealing with dull ache when moving affected tendon and tenderness to touch and it is getting worse.,Tendinitis
"Patient reports chronic fatigue, joint aches and jaundice with increasing discomfort.",Hepatitis C
"Clinical notes: Patient presenting with pain radiating to left arm neck or jaw, cold sweat and shortness of breath.",Heart Attack
"Doctor, I've had bone pain, chronic fatigue and low mood for the past few days.",Vitamin D Deficiency
Experiencing scratchy feeling,Dry Eye Syndrome
"Noticed severe wheezing, chest tightness, difficulty breathing",Asthma
"I have shortness of breath when lying flat, rapid weight gain from fluid, wheezing",Heart Failure
"I'm experiencing abdominal cramping, bloating, gas and alternating diarrhea and constipation.",Irritable Bowel Syndrome
I have dry skin,Hypothyroidism
"I have sudden shortness of breath, sharp chest pain on breathing, rapid heart rate",Pulmonary Embolism
"Experiencing acute pain radiating to left arm neck or jaw, cold sweat, shortness of breath and severe nausea.",Heart Attack
My main issues right now are numbness in fingers and extreme fatigue.,Electrolyte Imbalance
Experiencing fatigue,Scurvy
"It started yesterday with high fever, cough with phlegm, chest pain and fatigue.",Pneumonia
Patient reports dull discomfort in upper right abdomen and slight liver enlargement with increasing discomfort.,Fatty Liver Disease
"Doctor, I've had waking up during the night, waking up too early, daytime fatigue",Insomnia Disorder
"Patient presenting with fluttering in chest, racing heartbeat, slow heartbeat",Arrhythmia
"Been having acid regurgitation, difficulty swallowing, chronic dry cough",GERD
Experiencing mild itching,Impetigo
"Suffering from rapid heart rate, coughing blood and dizziness, need medical guidance.",Pulmonary Embolism
"I feel terrible with extreme fatigue, pale skin and weakness.",Iron Deficiency Anemia
Feeling hard dry stools,Constipation
"I have pain radiating to lower abdomen and groin, nausea, painful urination",Kidney Stones
"I cannot sleep because of nausea, sound sensitivity, visual aura and dizziness.",Migraine
"Noticed severe swelling in ankles and feet, foamy urine, metallic taste in mouth",Chronic Kidney Disease
"Doctor, I've had tearing, nasal congestion on one side and restlessness for the past few days.",Cluster Headache
Clinical notes: Patient presenting with smooth red tongue and memory problems.,Vitamin B12 Deficiency
Experiencing acute frequent painful urination and blood in urine.,Acute Cystitis
I have high blood pressure,Cushing's Syndrome
I have wheezing,Bronchitis
I cannot sleep because of exclamation point hairs and pitted fingernails.,Alopecia Areata
"I have abdominal cramping, bloating, mucus in stool",Irritable Bowel Syndrome
I have food intolerance,Irritable Bowel Syndrome
It started yesterday with pale appearance and microcytic red blood cells on lab work.,Thalassemia Minor
"Over the last 48 hours, I noticed shortness of breath with exertion, excess sputum and chest tightness.",COPD
I have confusion,Electrolyte Imbalance
"Doctor, I've had bloody diarrhea, urgent need to defecate, rectal pain",Ulcerative Colitis
I feel terrible with shakiness and blurred vision.,Hypoglycemia
"Doctor, I've had irregular periods, severe acne, thinning hair on scalp and ovarian cysts for the past few days.",Polycystic Ovary Syndrome
"Suffering from sudden shortness of breath, rapid heart rate, coughing blood",Pulmonary Embolism
"Suffering from intense skin itching, red to brownish-gray patches, raw sensitive skin from scratching",Eczema
My main issues right now are itchy eyes and watery discharge.,Conjunctivitis
Clinical notes: Patient presenting with pink or cola-colored urine and foamy urine.,Glomerulonephritis
"Doctor, I've had bloody diarrhea, weight loss, fever",Ulcerative Colitis
"Noticed severe dry cough, sore throat, body aches",COVID-19
"Woke up today with nausea, body ache and fatigue.",Malaria
Experiencing nausea,Gastroenteritis
I have unintended weight loss,Hyperthyroidism
Feeling urgent need to defecate,Ulcerative Colitis
"It started yesterday with temporary numbness on one side, brief speech slurring, transient vision loss and temporary dizziness.",Transient Ischemic Attack (TIA)
